date,temp_c,wind_kmh,humidity_pct,precip_mm
2021-03-01,0.0,25.9,88,1.8
2021-03-02,-10.4,10.8,85,0.2
2021-03-03,-10.0,19.0,81,0.6
2021-03-04,-3.5,27.9,81,0.6
2021-03-05,-3.6,36.5,78,1.0
2021-03-06,-3.3,33.8,80,0.1
2021-03-07,-2.3,15.8,87,0.0
2021-03-08,-3.8,28.0,83,0.7
2021-03-09,-10.1,17.8,80,0.0
2021-03-10,-6.9,25.0,87,0.9
2021-03-11,-4.4,30.3,78,1.6
2021-03-12,-13.4,19.9,74,0.0
2021-03-13,-18.8,20.2,77,0.0
2021-03-14,-18.6,10.5,77,0.0
2021-03-15,-16.0,14.7,80,0.0
2021-03-16,-13.9,15.3,79,0.0
2021-03-17,-10.7,16.5,78,0.0
2021-03-18,-8.6,19.7,77,0.0
2021-03-19,-6.7,26.8,79,0.0
2021-03-20,-1.8,29.7,77,1.0
2021-03-21,1.4,27.2,82,0.0
2021-03-22,-0.3,16.6,88,0.8
2021-03-23,-0.2,21.2,88,1.4
2021-03-24,-3.1,35.5,85,2.5
2021-03-25,-4.1,11.4,82,0.2
2021-03-26,-3.5,12.3,86,0.0
2021-03-27,-1.7,23.4,87,0.4
2021-03-28,0.2,14.8,90,1.6
2021-03-29,-2.8,33.8,85,1.3
2021-03-30,-4.9,18.0,85,0.0
2021-03-31,-5.9,9.3,83,0.0
2021-04-01,-6.5,7.3,86,0.0
2021-04-02,-2.4,16.6,77,0.0
2021-04-03,-0.3,10.7,78,0.0
2021-04-04,2.3,13.9,67,0.0
2021-04-05,6.7,20.5,58,0.0
2021-04-06,3.6,15.4,70,0.0
2021-04-07,3.3,8.9,73,0.2
2021-04-08,7.4,7.1,74,0.0
2021-04-09,8.6,19.3,68,1.0
2021-04-10,5.8,22.0,53,0.1
2021-04-11,6.0,15.9,54,0.0
2021-04-12,6.0,7.8,59,0.0
2021-04-13,6.4,13.8,58,0.0
2021-04-14,6.7,11.5,52,0.0
2021-04-15,9.6,8.9,63,0.0
2021-04-16,12.7,11.2,58,0.0
2021-04-17,5.7,15.2,54,0.0
2021-04-18,8.5,15.6,56,0.0
2021-04-19,-1.3,18.6,46,0.0
2021-04-20,-3.3,11.7,38,0.0
2021-04-21,0.3,16.1,44,0.1
2021-04-22,1.0,16.5,51,0.0
2021-04-23,2.6,10.6,39,0.0
2021-04-24,4.3,6.9,42,0.0
2021-04-25,8.4,16.7,30,0.0
2021-04-26,12.9,18.4,41,0.6
2021-04-27,14.7,15.0,64,2.9
2021-04-28,18.4,20.4,44,0.0
2021-04-29,13.9,14.6,71,1.8
2021-04-30,11.6,11.8,43,0.0
2021-05-01,8.7,22.6,36,0.2
2021-05-02,9.1,11.1,35,0.0
2021-05-03,14.0,15.9,30,0.0
2021-05-04,12.2,11.7,48,0.0
2021-05-05,15.2,13.8,28,0.0
2021-05-06,21.8,16.3,28,0.0
2021-05-07,16.7,15.0,33,0.0
2021-05-08,16.5,7.3,31,0.0
2021-05-09,19.2,15.9,26,0.0
2021-05-10,13.7,23.8,35,3.0
2021-05-11,14.1,16.4,37,0.0
2021-05-12,17.1,17.2,31,0.0
2021-05-13,14.6,21.2,45,0.3
2021-05-14,14.8,15.6,41,0.0
2021-05-15,18.3,9.9,42,0.0
2021-05-16,22.5,14.2,41,0.0
2021-05-17,22.5,12.1,44,0.1
2021-05-18,24.9,15.5,36,0.0
2021-05-19,16.7,18.6,55,2.9
2021-05-20,11.9,15.4,37,0.0
2021-05-21,10.3,11.2,63,4.8
2021-05-22,17.5,5.8,63,0.0
2021-05-23,24.0,12.1,40,0.0
2021-05-24,25.4,11.2,39,0.0
2021-05-25,26.8,11.1,41,0.0
2021-05-26,28.7,10.7,32,0.0
